pm10_standard,pm25_standard,pm100_standard,pm10_env,pm25_env,pm100_env,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um,time
4,4,6,4,4,6,801,242,26,4,0,0,2021-01-05 15:56:03.721865
2,3,3,2,3,3,663,204,12,0,0,0,2021-01-05 15:57:03.780003
3,3,3,3,3,3,708,198,8,0,0,0,2021-01-05 15:58:03.806564
1,2,3,1,2,3,504,149,13,2,2,2,2021-01-05 15:59:03.806568
1,2,2,1,2,2,570,162,12,0,0,0,2021-01-05 16:00:03.806583
3,4,5,3,4,5,621,195,22,2,2,0,2021-01-05 16:01:03.806590
4,4,4,4,4,4,747,221,10,0,0,0,2021-01-05 16:02:03.806628
3,5,5,3,5,5,759,242,26,0,0,0,2021-01-05 16:03:03.806651
2,3,4,2,3,4,636,190,14,2,2,0,2021-01-05 16:04:03.806497
4,5,5,4,5,5,753,219,15,0,0,0,2021-01-05 16:05:03.806676
2,4,5,2,4,5,735,207,27,2,2,2,2021-01-05 16:06:03.806704
3,3,3,3,3,3,753,220,6,0,0,0,2021-01-05 16:07:03.806716
4,4,6,4,4,6,699,214,12,2,2,2,2021-01-05 16:08:03.806735
2,2,2,2,2,2,615,176,12,0,0,0,2021-01-05 16:09:03.806759
4,5,6,4,5,6,900,260,24,2,0,0,2021-01-05 16:10:03.780023
3,4,4,3,4,4,801,235,19,0,0,0,2021-01-05 16:11:03.806826
4,4,4,4,4,4,810,232,12,0,0,0,2021-01-05 16:12:03.806811
3,3,3,3,3,3,780,226,8,0,0,0,2021-01-05 16:13:03.806830
4,4,6,4,4,6,834,241,2,2,2,2,2021-01-05 16:14:03.806858
3,3,4,3,3,4,642,191,14,2,0,0,2021-01-05 16:15:03.806870
4,4,4,4,4,4,798,237,23,0,0,0,2021-01-05 16:16:03.806899
2,2,2,2,2,2,657,181,10,0,0,0,2021-01-05 16:17:03.806907
3,4,8,3,4,8,918,249,32,4,4,4,2021-01-05 16:18:03.806942
4,4,4,4,4,4,696,213,20,0,0,0,2021-01-05 16:19:03.806946
4,4,4,4,4,4,678,209,14,0,0,0,2021-01-05 16:20:03.806964
3,3,3,3,3,3,732,219,12,0,0,0,2021-01-05 16:21:03.806982
3,4,4,3,4,4,663,205,30,0,0,0,2021-01-05 16:22:03.806998
2,2,4,2,2,4,612,179,16,2,2,2,2021-01-05 16:23:03.779998
2,2,4,2,2,4,672,185,17,2,2,2,2021-01-05 16:24:03.807068
3,3,3,3,3,3,711,207,12,0,0,0,2021-01-05 16:25:03.769994
3,4,5,3,4,5,804,223,26,2,0,0,2021-01-05 16:26:03.807115
1,2,2,1,2,2,507,149,16,0,0,0,2021-01-05 16:27:03.807109
4,5,5,4,5,5,750,229,23,0,0,0,2021-01-05 16:28:03.807126
3,4,4,3,4,4,627,189,20,0,0,0,2021-01-05 16:29:03.800010
2,2,6,2,2,6,618,194,12,4,4,2,2021-01-05 16:30:03.807173
3,4,4,3,4,4,774,226,19,0,0,0,2021-01-05 16:31:03.780009
3,3,3,3,3,3,570,177,12,0,0,0,2021-01-05 16:32:03.807229
4,4,4,4,4,4,831,231,12,0,0,0,2021-01-05 16:33:03.760011
3,4,4,3,4,4,798,225,14,0,0,0,2021-01-05 16:34:03.807285
3,4,4,3,4,4,762,228,18,0,0,0,2021-01-05 16:35:03.807238
4,5,5,4,5,5,867,267,25,0,0,0,2021-01-05 16:36:03.807277
4,5,7,4,5,7,936,272,18,2,2,2,2021-01-05 16:37:03.807296
5,5,8,5,5,8,807,242,27,4,2,2,2021-01-05 16:38:03.807318
4,5,5,4,5,5,858,248,28,0,0,0,2021-01-05 16:39:03.807336
2,3,3,2,3,3,639,189,15,0,0,0,2021-01-05 16:40:03.807344
3,4,6,3,4,6,717,201,23,4,2,0,2021-01-05 16:41:03.807378
3,4,4,3,4,4,789,241,22,0,0,0,2021-01-05 16:42:03.807382
4,4,4,4,4,4,894,251,10,0,0,0,2021-01-05 16:43:03.807407
3,3,3,3,3,3,642,189,6,0,0,0,2021-01-05 16:44:03.807430
3,3,3,3,3,3,744,214,15,0,0,0,2021-01-05 16:45:03.807448
2,3,4,2,3,4,669,196,16,2,0,0,2021-01-05 16:46:03.807453
2,3,4,2,3,4,639,190,14,2,2,2,2021-01-05 16:47:03.807494
3,3,4,3,3,4,714,214,14,2,0,0,2021-01-05 16:48:03.807497
3,3,5,3,3,5,645,177,10,2,2,2,2021-01-05 16:49:03.780010
3,3,3,3,3,3,588,161,14,0,0,0,2021-01-05 16:50:03.807569
3,4,5,3,4,5,693,207,14,2,2,0,2021-01-05 16:51:03.807564
4,5,5,4,5,5,960,268,14,0,0,0,2021-01-05 16:52:03.807573
2,3,3,2,3,3,678,200,8,0,0,0,2021-01-05 16:53:03.807597
2,3,3,2,3,3,687,201,6,0,0,0,2021-01-05 16:54:03.807612
2,2,2,2,2,2,645,179,8,0,0,0,2021-01-05 16:55:03.807635
3,4,4,3,4,4,789,228,18,0,0,0,2021-01-05 16:56:03.807666
2,3,4,2,3,4,666,192,12,2,2,2,2021-01-05 16:57:03.807679
2,3,3,2,3,3,714,188,21,0,0,0,2021-01-05 16:58:03.807708
2,3,3,2,3,3,684,202,6,2,0,0,2021-01-05 16:59:03.807723
4,5,6,4,5,6,840,245,25,2,2,0,2021-01-05 17:00:03.807745
2,3,4,2,3,4,747,214,20,2,0,0,2021-01-05 17:01:03.807763
4,4,4,4,4,4,759,217,12,0,0,0,2021-01-05 17:02:03.807770
3,4,4,3,4,4,708,226,20,0,0,0,2021-01-05 17:03:03.807814
2,2,5,2,2,5,579,166,14,4,4,2,2021-01-05 17:04:03.807820
2,3,3,2,3,3,660,199,14,0,0,0,2021-01-05 17:05:03.807844
3,3,3,3,3,3,642,186,10,0,0,0,2021-01-05 17:06:03.807869
3,3,7,3,3,7,648,209,16,4,4,4,2021-01-05 17:07:03.807886
3,3,3,3,3,3,624,178,6,0,0,0,2021-01-05 17:08:03.807900
3,4,4,3,4,4,669,196,17,0,0,0,2021-01-05 17:09:03.807932
1,2,2,1,2,2,627,173,20,0,0,0,2021-01-05 17:10:03.807952
2,3,3,2,3,3,672,187,14,0,0,0,2021-01-05 17:11:03.807978
3,3,3,3,3,3,645,203,12,0,0,0,2021-01-05 17:12:03.807993
2,3,6,2,3,6,645,191,20,4,4,4,2021-01-05 17:13:03.808002
4,5,5,4,5,5,666,201,24,0,0,0,2021-01-05 17:14:03.808028
3,4,5,3,4,5,675,195,25,2,2,0,2021-01-05 17:15:03.780020
3,3,3,3,3,3,696,211,14,0,0,0,2021-01-05 17:16:03.808109
3,3,3,3,3,3,735,200,20,0,0,0,2021-01-05 17:17:03.808090
3,3,3,3,3,3,732,208,18,0,0,0,2021-01-05 17:18:03.808097
4,5,5,4,5,5,762,228,24,0,0,0,2021-01-05 17:19:03.808150
3,4,5,3,4,5,756,225,17,2,0,0,2021-01-05 17:20:03.808161
3,3,3,3,3,3,648,190,15,0,0,0,2021-01-05 17:21:03.808171
4,4,7,4,4,7,822,241,22,4,2,2,2021-01-05 17:22:03.808177
4,4,5,4,4,5,816,245,20,2,0,0,2021-01-05 17:23:03.808201
4,5,6,4,5,6,762,231,16,2,2,0,2021-01-05 17:24:03.808212
6,7,10,6,7,10,975,294,33,4,4,2,2021-01-05 17:25:03.808240
3,3,4,3,3,4,792,227,10,2,0,0,2021-01-05 17:26:03.808268
2,3,3,2,3,3,723,212,22,0,0,0,2021-01-05 17:27:03.770014
2,2,2,2,2,2,672,186,6,0,0,0,2021-01-05 17:28:03.780024
3,3,3,3,3,3,720,218,14,0,0,0,2021-01-05 17:29:03.808332
1,1,1,1,1,1,525,146,12,0,0,0,2021-01-05 17:30:03.808363
1,2,5,1,2,5,579,180,16,4,4,0,2021-01-05 17:31:03.808367
2,2,3,2,2,3,648,182,6,2,2,0,2021-01-05 17:32:03.808209
3,3,3,3,3,3,807,236,12,0,0,0,2021-01-05 17:33:03.808401
4,4,4,4,4,4,714,212,12,0,0,0,2021-01-05 17:34:03.808427
4,4,4,4,4,4,876,253,14,0,0,0,2021-01-05 17:35:03.808440
3,3,3,3,3,3,612,190,8,0,0,0,2021-01-05 17:36:03.808482
5,5,6,5,5,6,861,250,8,2,2,0,2021-01-05 17:37:03.808489
3,4,6,3,4,6,771,231,27,4,2,0,2021-01-05 17:38:03.808522
3,3,3,3,3,3,735,215,19,0,0,0,2021-01-05 17:39:03.808523
4,7,7,4,7,7,834,239,48,2,0,0,2021-01-05 17:40:03.808554
2,2,2,2,2,2,675,194,8,0,0,0,2021-01-05 17:41:03.780016
4,5,5,4,5,5,948,273,24,0,0,0,2021-01-05 17:42:03.808594
2,3,4,2,3,4,738,205,16,2,0,0,2021-01-05 17:43:03.808586
2,3,4,2,3,4,699,204,14,2,0,0,2021-01-05 17:44:03.808622
4,5,7,4,5,7,738,221,18,4,2,0,2021-01-05 17:45:03.808637
2,3,6,2,3,6,711,218,18,4,4,2,2021-01-05 17:46:03.808909
4,5,5,4,5,5,882,261,25,0,0,0,2021-01-05 17:47:03.808918
4,5,5,4,5,5,828,238,20,0,0,0,2021-01-05 17:48:03.808933
4,5,5,4,5,5,843,252,14,2,0,0,2021-01-05 17:49:03.808959
3,4,6,3,4,6,864,243,19,2,2,2,2021-01-05 17:50:03.808991
3,4,5,3,4,5,777,231,18,2,2,0,2021-01-05 17:51:03.808999
4,4,6,4,4,6,792,232,27,2,2,2,2021-01-05 17:52:03.809040
4,4,4,4,4,4,774,236,28,0,0,0,2021-01-05 17:53:03.809046
4,5,5,4,5,5,738,208,22,0,0,0,2021-01-05 17:54:03.780002
3,4,4,3,4,4,777,232,12,0,0,0,2021-01-05 17:55:03.809118
4,4,5,4,4,5,831,242,18,2,2,0,2021-01-05 17:56:03.809096
1,2,3,1,2,3,570,169,6,2,2,0,2021-01-05 17:57:03.780004
3,3,3,3,3,3,744,221,10,0,0,0,2021-01-05 17:58:03.809174
4,4,6,4,4,6,819,260,13,2,2,2,2021-01-05 17:59:03.809156
4,4,6,4,4,6,906,258,10,2,2,2,2021-01-05 18:00:03.809168
3,3,3,3,3,3,591,157,16,0,0,0,2021-01-05 18:01:03.809196
5,5,5,5,5,5,924,282,18,0,0,0,2021-01-05 18:02:03.809230
3,4,4,3,4,4,675,196,14,0,0,0,2021-01-05 18:03:03.809224
3,4,5,3,4,5,627,188,12,2,2,2,2021-01-05 18:04:03.809267
4,5,5,4,5,5,807,250,16,0,0,0,2021-01-05 18:05:03.809283
3,3,5,3,3,5,747,209,6,2,2,2,2021-01-05 18:06:03.809308
4,5,5,4,5,5,891,274,27,0,0,0,2021-01-05 18:07:03.809325
3,3,3,3,3,3,759,216,12,0,0,0,2021-01-05 18:08:03.809352
3,4,5,3,4,5,834,248,22,2,2,0,2021-01-05 18:09:03.809359
5,7,7,5,7,7,975,299,39,0,0,0,2021-01-05 18:10:03.780019
5,5,7,5,5,7,879,266,20,2,2,2,2021-01-05 18:11:03.809420
5,5,5,5,5,5,975,278,16,0,0,0,2021-01-05 18:12:03.809458
5,6,6,5,6,6,1080,309,22,0,0,0,2021-01-05 18:13:03.809422
5,7,7,5,7,7,1074,313,35,0,0,0,2021-01-05 18:14:03.809439
5,6,6,5,6,6,1161,336,25,0,0,0,2021-01-05 18:15:03.809467
