pm10_standard,pm25_standard,pm100_standard,pm10_env,pm25_env,pm100_env,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um,time
3,4,4,3,4,4,648,194,14,0,0,0,2021-01-05 08:00:03.747824
2,3,3,2,3,3,657,192,16,0,0,0,2021-01-05 08:01:03.830186
1,2,5,1,2,5,579,162,20,6,4,0,2021-01-05 08:02:03.830130
2,2,4,2,2,4,576,172,12,2,2,0,2021-01-05 08:03:03.830169
1,1,3,1,1,3,552,158,16,4,0,0,2021-01-05 08:04:03.830181
2,3,4,2,3,4,675,192,14,2,2,0,2021-01-05 08:05:03.830202
3,3,3,3,3,3,732,212,15,0,0,0,2021-01-05 08:06:03.830227
1,1,1,1,1,1,468,140,4,0,0,0,2021-01-05 08:07:03.830234
1,2,4,1,2,4,513,153,12,4,2,0,2021-01-05 08:08:03.830266
2,2,4,2,2,4,630,188,16,2,2,2,2021-01-05 08:09:03.830284
2,4,5,2,4,5,672,205,28,2,2,0,2021-01-05 08:10:03.830309
1,2,2,1,2,2,525,152,20,0,0,0,2021-01-05 08:11:03.830312
2,2,4,2,2,4,651,191,10,2,2,0,2021-01-05 08:12:03.830381
3,4,4,3,4,4,735,220,24,0,0,0,2021-01-05 08:13:03.830343
1,1,3,1,1,3,474,140,14,2,2,2,2021-01-05 08:14:03.830380
2,2,2,2,2,2,582,163,4,0,0,0,2021-01-05 08:15:03.830410
3,3,4,3,3,4,702,212,6,2,2,0,2021-01-05 08:16:03.830407
2,2,2,2,2,2,594,179,10,0,0,0,2021-01-05 08:17:03.830457
3,3,3,3,3,3,687,201,18,0,0,0,2021-01-05 08:18:03.830466
5,6,6,5,6,6,876,274,26,0,0,0,2021-01-05 08:19:03.830488
4,4,4,4,4,4,801,239,25,0,0,0,2021-01-05 08:20:03.830490
5,6,6,5,6,6,855,247,32,0,0,0,2021-01-05 08:21:03.830501
4,5,5,4,5,5,807,240,20,0,0,0,2021-01-05 08:22:03.780081
3,3,3,3,3,3,723,212,16,0,0,0,2021-01-05 08:23:03.830613
3,3,3,3,3,3,654,191,6,0,0,0,2021-01-05 08:24:03.830574
2,2,2,2,2,2,690,186,8,0,0,0,2021-01-05 08:25:03.830629
4,5,6,4,5,6,744,215,21,2,2,2,2021-01-05 08:26:03.830617
2,3,3,2,3,3,609,169,14,0,0,0,2021-01-05 08:27:03.830630
3,4,4,3,4,4,654,192,16,0,0,0,2021-01-05 08:28:03.791386
3,4,5,3,4,5,843,238,20,2,2,0,2021-01-05 08:29:03.830721
3,4,5,3,4,5,729,227,10,2,2,0,2021-01-05 08:30:03.802971
3,4,5,3,4,5,654,203,12,2,2,0,2021-01-05 08:31:03.793894
2,3,3,2,3,3,669,204,10,0,0,0,2021-01-05 08:32:03.820087
4,5,5,4,5,5,738,231,21,0,0,0,2021-01-05 08:33:03.792637
2,3,3,2,3,3,621,179,10,0,0,0,2021-01-05 08:34:03.830827
3,4,4,3,4,4,654,205,8,0,0,0,2021-01-05 08:35:03.830794
2,3,3,2,3,3,687,196,18,0,0,0,2021-01-05 08:36:03.830830
2,2,3,2,2,3,642,185,8,2,0,0,2021-01-05 08:37:03.830825
3,3,5,3,3,5,765,222,16,2,2,2,2021-01-05 08:38:03.823114
2,2,3,2,2,3,579,167,8,2,2,0,2021-01-05 08:39:03.791870
1,1,1,1,1,1,537,159,4,0,0,0,2021-01-05 08:40:03.780084
1,2,2,1,2,2,552,158,12,2,0,0,2021-01-05 08:41:03.790158
3,3,4,3,3,4,579,170,16,2,0,0,2021-01-05 08:42:03.830988
2,2,5,2,2,5,609,183,14,6,2,0,2021-01-05 08:43:03.830960
3,3,3,3,3,3,675,189,20,0,0,0,2021-01-05 08:44:03.780048
2,2,2,2,2,2,636,186,6,0,0,0,2021-01-05 08:45:03.820089
3,4,4,3,4,4,765,224,19,2,0,0,2021-01-05 08:46:03.831021
3,3,5,3,3,5,615,176,19,2,2,0,2021-01-05 08:47:03.831034
3,3,4,3,3,4,615,186,8,2,2,0,2021-01-05 08:48:03.831059
1,2,3,1,2,3,531,157,12,2,2,2,2021-01-05 08:49:03.780011
3,3,3,3,3,3,651,203,19,0,0,0,2021-01-05 08:50:03.831126
2,2,2,2,2,2,654,178,15,0,0,0,2021-01-05 08:51:03.780011
3,3,3,3,3,3,699,211,10,0,0,0,2021-01-05 08:52:03.831180
2,3,3,2,3,3,705,206,18,0,0,0,2021-01-05 08:53:03.831151
1,1,4,1,1,4,462,141,10,4,4,4,2021-01-05 08:54:03.831170
3,3,3,3,3,3,600,164,8,0,0,0,2021-01-05 08:55:03.831179
1,1,3,1,1,3,528,145,10,2,2,2,2021-01-05 08:56:03.831188
2,2,4,2,2,4,708,212,4,2,2,0,2021-01-05 08:57:03.831233
3,3,5,3,3,5,573,168,20,2,2,2,2021-01-05 08:58:03.831241
1,2,2,1,2,2,495,149,8,0,0,0,2021-01-05 08:59:03.831249
2,2,2,2,2,2,489,143,0,0,0,0,2021-01-05 09:00:03.831282
2,3,5,2,3,5,735,203,12,2,2,0,2021-01-05 09:01:03.831289
3,4,4,3,4,4,642,205,10,0,0,0,2021-01-05 09:02:03.831331
3,4,5,3,4,5,708,211,25,2,0,0,2021-01-05 09:03:03.831385
1,1,2,1,1,2,471,136,14,2,0,0,2021-01-05 09:04:03.831352
2,3,6,2,3,6,642,196,26,4,4,2,2021-01-05 09:05:03.831366
2,2,3,2,2,3,621,173,10,2,0,0,2021-01-05 09:06:03.831399
3,3,5,3,3,5,648,176,10,4,2,0,2021-01-05 09:07:03.831415
2,2,5,2,2,5,657,185,14,4,4,0,2021-01-05 09:08:03.831424
3,3,3,3,3,3,693,206,12,0,0,0,2021-01-05 09:09:03.831441
1,2,2,1,2,2,561,162,8,0,0,0,2021-01-05 09:10:03.792003
3,3,3,3,3,3,528,151,16,0,0,0,2021-01-05 09:11:03.831555
1,1,1,1,1,1,585,159,2,0,0,0,2021-01-05 09:12:03.831540
1,2,2,1,2,2,555,154,15,0,0,0,2021-01-05 09:13:03.828664
2,3,5,2,3,5,675,195,25,2,2,2,2021-01-05 09:14:03.831604
2,2,4,2,2,4,687,188,18,4,0,0,2021-01-05 09:15:03.831592
1,1,3,1,1,3,504,145,14,4,2,0,2021-01-05 09:16:03.831609
0,1,1,0,1,1,408,119,10,0,0,0,2021-01-05 09:17:03.831623
3,3,3,3,3,3,546,173,20,0,0,0,2021-01-05 09:18:03.780013
2,2,4,2,2,4,588,173,8,2,2,2,2021-01-05 09:19:03.831723
3,3,3,3,3,3,591,184,8,0,0,0,2021-01-05 09:20:03.831698
1,2,2,1,2,2,528,147,14,0,0,0,2021-01-05 09:21:03.831740
4,4,4,4,4,4,762,217,4,0,0,0,2021-01-05 09:22:03.831729
3,3,5,3,3,5,582,178,16,2,2,2,2021-01-05 09:23:03.831771
2,3,3,2,3,3,489,140,14,0,0,0,2021-01-05 09:24:03.831770
2,2,2,2,2,2,573,165,10,0,0,0,2021-01-05 09:25:03.831819
3,3,4,3,3,4,567,163,14,2,2,0,2021-01-05 09:26:03.831796
3,3,3,3,3,3,516,162,8,0,0,0,2021-01-05 09:27:03.831808
1,1,1,1,1,1,507,149,4,0,0,0,2021-01-05 09:28:03.815057
1,1,2,1,1,2,477,145,12,2,0,0,2021-01-05 09:29:03.831886
2,2,2,2,2,2,579,163,12,0,0,0,2021-01-05 09:30:03.831879
2,2,4,2,2,4,528,159,15,2,2,2,2021-01-05 09:31:03.831920
3,3,3,3,3,3,516,149,12,0,0,0,2021-01-05 09:32:03.831925
3,4,4,3,4,4,591,182,14,0,0,0,2021-01-05 09:33:03.831953
2,2,2,2,2,2,504,143,12,0,0,0,2021-01-05 09:34:03.831959
1,1,1,1,1,1,495,151,0,0,0,0,2021-01-05 09:35:03.831984
2,3,3,2,3,3,609,179,20,0,0,0,2021-01-05 09:36:03.831982
2,2,4,2,2,4,618,181,20,4,2,0,2021-01-05 09:37:03.832018
2,3,3,2,3,3,684,202,12,0,0,0,2021-01-05 09:38:03.832167
1,2,2,1,2,2,528,152,10,0,0,0,2021-01-05 09:39:03.832049
3,4,4,3,4,4,702,209,24,0,0,0,2021-01-05 09:40:03.832115
1,1,1,1,1,1,483,141,10,0,0,0,2021-01-05 09:41:03.832092
2,3,4,2,3,4,618,196,20,2,2,0,2021-01-05 09:42:03.832120
2,3,3,2,3,3,612,182,12,0,0,0,2021-01-05 09:43:03.832139
2,2,6,2,2,6,486,140,16,4,4,4,2021-01-05 09:44:03.832209
1,1,2,1,1,2,489,138,10,2,0,0,2021-01-05 09:45:03.832184
1,2,2,1,2,2,492,134,12,0,0,0,2021-01-05 09:46:03.832191
2,3,3,2,3,3,621,191,14,0,0,0,2021-01-05 09:47:03.832220
1,1,3,1,1,3,543,158,8,2,2,2,2021-01-05 09:48:03.832240
1,1,1,1,1,1,474,146,12,0,0,0,2021-01-05 09:49:03.832268
2,2,2,2,2,2,603,184,10,0,0,0,2021-01-05 09:50:03.832517
2,3,4,2,3,4,555,161,18,2,2,0,2021-01-05 09:51:03.780020
1,2,2,1,2,2,540,159,13,0,0,0,2021-01-05 09:52:03.790888
2,2,3,2,2,3,573,168,14,2,0,0,2021-01-05 09:53:03.832616
1,2,3,1,2,3,627,168,18,2,0,0,2021-01-05 09:54:03.832608
2,3,4,2,3,4,612,188,25,2,2,0,2021-01-05 09:55:03.796409
1,2,5,1,2,5,540,153,12,4,4,2,2021-01-05 09:56:03.832688
2,2,2,2,2,2,522,151,10,0,0,0,2021-01-05 09:57:03.832663
1,1,1,1,1,1,444,123,8,0,0,0,2021-01-05 09:58:03.832697
2,2,3,2,2,3,612,178,6,2,0,0,2021-01-05 09:59:03.832700
1,2,2,1,2,2,501,147,10,0,0,0,2021-01-05 10:00:03.814873
2,3,3,2,3,3,642,190,18,0,0,0,2021-01-05 10:01:03.832772
1,2,2,1,2,2,516,145,12,0,0,0,2021-01-05 10:02:03.832766
2,2,2,2,2,2,528,146,14,0,0,0,2021-01-05 10:03:03.832812
1,1,1,1,1,1,507,151,8,0,0,0,2021-01-05 10:04:03.832797
2,3,4,2,3,4,537,152,8,2,2,0,2021-01-05 10:05:03.832829
2,3,3,2,3,3,522,142,16,0,0,0,2021-01-05 10:06:03.832840
1,2,2,1,2,2,543,158,4,0,0,0,2021-01-05 10:07:03.832859
4,4,7,4,4,7,765,214,16,4,4,2,2021-01-05 10:08:03.800858
1,1,1,1,1,1,477,129,12,0,0,0,2021-01-05 10:09:03.832943
1,1,2,1,1,2,468,133,6,2,2,0,2021-01-05 10:10:03.832920
2,3,3,2,3,3,666,200,6,0,0,0,2021-01-05 10:11:03.832960
2,2,2,2,2,2,621,165,14,0,0,0,2021-01-05 10:12:03.832978
2,3,3,2,3,3,639,189,17,0,0,0,2021-01-05 10:13:03.832995
1,2,5,1,2,5,576,168,23,4,2,2,2021-01-05 10:14:03.822825
1,1,2,1,1,2,426,129,10,2,2,0,2021-01-05 10:15:03.833038
5,6,6,5,6,6,846,252,40,0,0,0,2021-01-05 10:16:03.820104
2,3,3,2,3,3,684,187,14,0,0,0,2021-01-05 10:17:03.833074
2,3,3,2,3,3,606,166,17,0,0,0,2021-01-05 10:18:03.820097
3,3,3,3,3,3,537,165,6,0,0,0,2021-01-05 10:19:03.833128
1,1,1,1,1,1,444,130,8,0,0,0,2021-01-05 10:20:03.780146
3,3,3,3,3,3,594,185,19,0,0,0,2021-01-05 10:21:03.790069
1,2,2,1,2,2,510,153,26,0,0,0,2021-01-05 10:22:03.833212
1,1,1,1,1,1,486,153,4,0,0,0,2021-01-05 10:23:03.833198
3,3,3,3,3,3,537,152,10,0,0,0,2021-01-05 10:24:03.816034
2,2,3,2,2,3,588,174,6,2,2,0,2021-01-05 10:25:03.833242
3,4,4,3,4,4,657,197,16,0,0,0,2021-01-05 10:26:03.833245
2,2,2,2,2,2,546,166,4,0,0,0,2021-01-05 10:27:03.833262
2,2,2,2,2,2,534,162,6,0,0,0,2021-01-05 10:28:03.780032
1,1,1,1,1,1,486,135,4,0,0,0,2021-01-05 10:29:03.833358
2,2,2,2,2,2,579,170,17,0,0,0,2021-01-05 10:30:03.833320
2,3,3,2,3,3,552,173,24,0,0,0,2021-01-05 10:31:03.833344
3,3,3,3,3,3,630,183,18,0,0,0,2021-01-05 10:32:03.820085
1,2,2,1,2,2,498,142,14,2,0,0,2021-01-05 10:33:03.833384
3,3,3,3,3,3,696,217,4,0,0,0,2021-01-05 10:34:03.833400
1,1,1,1,1,1,477,139,4,0,0,0,2021-01-05 10:35:03.833413
2,3,5,2,3,5,642,186,20,2,2,2,2021-01-05 10:36:03.780165
2,2,2,2,2,2,525,158,6,0,0,0,2021-01-05 10:37:03.833493
2,3,5,2,3,5,618,194,12,4,4,0,2021-01-05 10:38:03.833479
1,1,1,1,1,1,504,150,6,0,0,0,2021-01-05 10:39:03.833495
1,2,2,1,2,2,510,144,21,0,0,0,2021-01-05 10:40:03.780167
